gmId_L45,gmro_L45,gmId_L90,gmro_L90,gmId_L135,gmro_L135,gmId_L180,gmro_L180,gmId_L225 ,gmro_L225,gmId_L270,gmro_L270,gmId_L315 ,gmro_L315,gmId_L360,gmro_L360,gmId_L405 ,gmro_L405,gmId_L450 ,gmro_L450,gmId_L495,gmro_L495,gmId_L540,gmro_L540,gmId_L585,gmro_L585,gmId_L630,gmro_L630,gmId_L675,gmro_L675,gmId_L720,gmro_L720
29.78,53.14,32.54,61.54,33.08,65.83,33.27,69.86,33.38,73.03,33.45,75.65,33.49,77.89,33.53,79.83,33.55,81.56,33.57,83.11,33.59,84.51,33.64,86.16,33.68,87.7,33.72,89.13,33.75,90.44,33.77,91.66
29.65,52.93,32.39,61.29,32.88,65.48,33.02,69.39,33.08,72.45,33.11,74.97,33.11,77.1,33.11,78.94,33.1,80.58,33.09,82.04,33.08,83.36,33.09,84.92,33.11,86.39,33.12,87.73,33.13,88.97,33.13,90.12
28.87,51.65,31.31,59.51,31.58,63.18,31.52,66.58,31.39,69.17,31.24,71.23,31.08,72.96,30.93,74.43,30.79,75.72,30.66,76.87,30.54,77.9,30.44,79.15,30.36,80.32,30.28,81.39,30.2,82.37,30.12,83.28
26.23,47.37,27.56,53.58,27.22,55.91,26.71,58.31,26.22,60.18,25.79,61.77,25.42,63.18,25.11,64.48,24.84,65.68,24.6,66.8,24.4,67.85,24.21,69.06,24.05,70.21,23.9,71.29,23.76,72.3,23.63,73.26
20.6,38.43,20.8,43.73,20.36,46.75,19.93,50.26,19.52,53.34,19.16,56.08,18.85,58.53,18.57,60.74,18.33,62.76,18.12,64.6,17.93,66.31,17.76,68.04,17.6,69.67,17.45,71.19,17.32,72.61,17.2,73.93
15.87,32.05,15.99,39.82,15.21,44.14,14.51,48.08,13.93,51.28,13.48,54.01,13.11,56.41,12.82,58.57,12.58,60.54,12.38,62.37,12.21,64.06,12.06,65.75,11.92,67.34,11.79,68.82,11.68,70.21,11.58,71.51
12.94,30.2,11.52,35.67,10.35,38.38,9.664,41.15,9.217,43.63,8.907,45.9,8.684,48.03,8.516,50.02,8.387,51.9,8.285,53.68,8.203,55.36,8.117,56.97,8.04,58.49,7.971,59.92,7.909,61.28,7.853,62.56
9.299,25.81,7.522,27.83,6.797,29.87,6.442,32.25,6.232,34.52,6.098,36.67,6.008,38.72,5.947,40.66,5.906,42.51,5.876,44.28,5.854,45.97,5.816,47.52,5.778,48.99,5.745,50.38,5.714,51.7,5.686,52.96
6.117,19.62,5.038,20.9,4.703,22.86,4.558,25.03,4.482,27.12,4.442,29.11,4.423,31,4.416,32.82,4.418,34.55,4.424,36.21,4.434,37.8,4.419,39.24,4.402,40.6,4.386,41.89,4.371,43.13,4.357,44.32
4.134,14.7,3.591,15.97,3.45,17.74,3.405,19.64,3.392,21.45,3.396,23.19,3.411,24.84,3.43,26.43,3.453,27.95,3.478,29.42,3.504,30.82,3.5,32.09,3.493,33.3,3.486,34.45,3.478,35.57,3.471,36.64
2.972,11.32,2.699,12.49,2.645,13.97,2.644,15.55,2.66,17.06,2.685,18.5,2.715,19.87,2.747,21.18,2.781,22.43,2.815,23.63,2.849,24.77,2.851,25.84,2.849,26.86,2.846,27.85,2.842,28.8,2.838,29.73
