gmId_L45,IdW_L45,gmId_L90,IdW_L90,gmId_L135,IdW_L135,gmId_L180,IdW_L180,gmId_L225 ,IdW_L225,gmId_L270 ,IdW_L270,gmId_L315 ,IdW_L315,gmId_L360 ,IdW_L360,gmId_L405,IdW_L405,gmId_L450,IdW_L450,gmId_L495,IdW_L495,gmId_L540,IdW_L540,gmId_L585,IdW_L585,gmId_L630,IdW_L630,gmId_L675,IdW_L675,gmId_L720,IdW_L720
29.78,1.50E-05,32.54,8.73E-06,33.08,9.54E-06,33.27,1.07E-05,33.38,1.18E-05,33.45,1.27E-05,33.49,1.35E-05,33.53,1.42E-05,33.55,1.48E-05,33.57,1.52E-05,33.59,1.56E-05,33.64,1.57E-05,33.68,1.58E-05,33.72,1.58E-05,33.75,1.58E-05,33.77,1.58E-05
29.65,2.93E-04,32.39,2.25E-04,32.88,2.59E-04,33.02,2.94E-04,33.08,3.28E-04,33.11,3.57E-04,33.11,3.81E-04,33.11,4.01E-04,33.1,4.17E-04,33.09,4.30E-04,33.08,4.40E-04,33.09,4.46E-04,33.11,4.49E-04,33.12,4.52E-04,33.13,4.53E-04,33.13,4.54E-04
28.87,5.52E-03,31.31,5.50E-03,31.58,6.59E-03,31.52,7.54E-03,31.39,8.38E-03,31.24,9.08E-03,31.08,9.64E-03,30.93,1.01E-02,30.79,1.04E-02,30.66,1.07E-02,30.54,1.09E-02,30.44,1.10E-02,30.36,1.10E-02,30.28,1.11E-02,30.2,1.11E-02,30.12,1.11E-02
26.23,8.89E-02,27.56,1.08E-01,27.22,1.29E-01,26.71,1.44E-01,26.22,1.55E-01,25.79,1.63E-01,25.42,1.68E-01,25.11,1.71E-01,24.84,1.73E-01,24.6,1.74E-01,24.4,1.73E-01,24.21,1.72E-01,24.05,1.71E-01,23.9,1.69E-01,23.76,1.67E-01,23.63,1.65E-01
20.6,9.40E-01,20.8,1.214,20.36,1.388,19.93,1.465,19.52,1.505,19.16,1.52,18.85,1.518,18.57,1.504,18.33,1.483,18.12,1.457,17.93,1.429,17.76,1.396,17.6,1.362,17.45,1.328,17.32,1.295,17.2,1.263
15.87,5.673,15.99,7.5,15.21,8.15,14.51,8.163,13.93,7.993,13.48,7.744,13.11,7.466,12.82,7.183,12.58,6.906,12.38,6.642,12.21,6.393,12.06,6.136,11.92,5.893,11.79,5.667,11.68,5.456,11.58,5.259
12.94,23.95,11.52,29.79,10.35,29.1,9.664,27.05,9.217,25.09,8.907,23.36,8.684,21.85,8.516,20.53,8.387,19.38,8.285,18.35,8.203,17.44,8.117,16.54,8.04,15.72,7.971,14.97,7.909,14.29,7.853,13.67
9.299,73.11,7.522,76.23,6.797,67.59,6.442,59.66,6.232,53.59,6.098,48.83,6.008,44.99,5.947,41.82,5.906,39.15,5.876,36.85,5.854,34.86,5.816,32.85,5.778,31.04,5.745,29.42,5.714,27.96,5.686,26.64
6.117,156.5,5.038,141.2,4.703,119,4.558,102.6,4.482,90.89,4.442,82.14,4.423,75.31,4.416,69.79,4.418,65.21,4.424,61.33,4.434,57.98,4.419,54.51,4.402,51.38,4.386,48.58,4.371,46.07,4.357,43.8
4.134,258.9,3.591,216.1,3.45,178,3.405,152.1,3.392,134.2,3.396,121.1,3.411,111,3.43,103,3.453,96.35,3.478,90.77,3.504,85.97,3.5,80.76,3.493,76.03,3.486,71.81,3.478,68.02,3.471,64.61
2.972,367.5,2.699,295,2.645,240.7,2.644,205.3,2.66,181.2,2.685,163.8,2.715,150.5,2.747,140,2.781,131.3,2.815,124.1,2.849,117.9,2.851,110.8,2.849,104.2,2.846,98.38,2.842,93.15,2.838,88.43
