gmId_L45,fT_L45,gmId_L90,fT_L90,gmId_L135,fT_L135,gmId_L180,fT_L180,gmId_L225,fT_L225,gmId_L270,fT_L270,gmId_L315,fT_L315,gmId_L360 ,fT_L360,gmId_L405,fT_L405,gmId_L450,fT_L450,gmId_L495,fT_L495,gmId_L540 ,fT_L540
2.345,2.80E+10,2.417,1.05E+10,2.491,5.57E+09,2.537,3.37E+09,2.561,2.24E+09,2.569,1.59E+09,2.569,1.19E+09,2.567,9.17E+08,2.564,7.30E+08,2.561,5.95E+08,2.558,4.94E+08,2.557,4.17E+08
2.922,2.70E+10,2.941,9.84E+09,2.994,5.11E+09,3.027,3.05E+09,3.04,2.01E+09,3.04,1.43E+09,3.033,1.06E+09,3.026,8.18E+08,3.019,6.51E+08,3.012,5.30E+08,3.006,4.40E+08,3.002,3.71E+08
3.811,2.55E+10,3.714,8.99E+09,3.721,4.57E+09,3.726,2.70E+09,3.72,1.77E+09,3.706,1.25E+09,3.687,9.25E+08,3.671,7.14E+08,3.657,5.67E+08,3.644,4.62E+08,3.632,3.83E+08,3.623,3.23E+08
5.351,2.33E+10,4.995,7.98E+09,4.902,3.98E+09,4.847,2.32E+09,4.8,1.51E+09,4.755,1.06E+09,4.712,7.86E+08,4.676,6.06E+08,4.646,4.81E+08,4.62,3.92E+08,4.597,3.25E+08,4.58,2.74E+08
8.449,1.98E+10,7.548,6.77E+09,7.22,3.33E+09,7.016,1.93E+09,6.867,1.25E+09,6.745,8.76E+08,6.64,6.48E+08,6.555,5.00E+08,6.485,3.97E+08,6.425,3.23E+08,6.374,2.68E+08,6.332,2.26E+08
14.94,1.29E+10,13.45,4.80E+09,12.68,2.42E+09,12.15,1.42E+09,11.76,9.28E+08,11.45,6.56E+08,11.18,4.89E+08,10.97,3.79E+08,10.79,3.02E+08,10.64,2.47E+08,10.51,2.05E+08,10.4,1.73E+08
23.7,4.06E+09,23.18,1.69E+09,22.57,9.19E+08,22.04,5.72E+08,21.59,3.92E+08,21.19,2.88E+08,20.83,2.22E+08,20.51,1.77E+08,20.24,1.44E+08,20.01,1.20E+08,19.8,1.01E+08,19.61,8.68E+07
30.31,5.27E+08,30.03,2.43E+08,29.68,1.36E+08,29.47,8.72E+07,29.29,6.13E+07,29.11,4.61E+07,28.95,3.64E+07,28.81,2.95E+07,28.69,2.46E+07,28.58,2.08E+07,28.49,1.79E+07,28.4,1.55E+07
33.51,2.79E+07,33.67,1.66E+07,33.65,1.07E+07,33.69,7.31E+06,33.68,5.37E+06,33.65,4.17E+06,33.61,3.38E+06,33.57,2.79E+06,33.52,2.36E+06,33.48,2.02E+06,33.45,1.75E+06,33.41,1.54E+06
34.67,9.38E+05,35.01,5.85E+05,35.15,3.99E+05,35.32,2.85E+05,35.42,2.17E+05,35.49,1.74E+05,35.53,1.45E+05,35.56,1.23E+05,35.58,1.06E+05,35.59,9.25E+04,35.6,8.16E+04,35.61,7.25E+04
35,2.78E+04,35.42,1.66E+04,35.6,1.11E+04,35.81,7.81E+03,35.94,5.90E+03,36.02,4.71E+03,36.08,3.92E+03,36.13,3.32E+03,36.17,2.87E+03,36.19,2.50E+03,36.22,2.21E+03,36.24,1.97E+03
