gmId_L45,gmro_L45,gmId_L90,gmro_L90,gmId_L135 ,gmro_L135,gmId_L180,gmro_L180,gmId_L225 ,gmro_L225,gmId_L270 ,gmro_L270,gmId_L315 ,gmro_L315,gmId_L360 ,gmro_L360,gmId_L405,gmro_L405,gmId_L450 ,gmro_L450,gmId_L495 ,gmro_L495,gmId_L540 ,gmro_L540
2.345,15.79,2.417,18.92,2.491,21.69,2.537,24.26,2.561,26.4,2.569,28.17,2.569,29.65,2.567,30.93,2.564,32.04,2.561,33.02,2.558,33.9,2.557,34.67
2.922,19.16,2.941,22.97,2.994,26.33,3.027,29.23,3.04,31.59,3.04,33.53,3.033,35.14,3.026,36.53,3.019,37.74,3.012,38.8,3.006,39.74,3.002,40.58
3.811,23.43,3.714,27.75,3.721,31.48,3.726,34.5,3.72,36.91,3.706,38.87,3.687,40.5,3.671,41.89,3.657,43.1,3.644,44.16,3.632,45.09,3.623,45.92
5.351,29.2,4.995,33.85,4.902,37.73,4.847,40.67,4.8,42.99,4.755,44.86,4.712,46.42,4.676,47.74,4.646,48.88,4.62,49.88,4.597,50.76,4.58,51.54
8.449,37.41,7.548,42.66,7.22,46.6,7.016,49.3,6.867,51.41,6.745,53.11,6.64,54.51,6.555,55.71,6.485,56.74,6.425,57.64,6.374,58.43,6.332,59.12
14.94,46.53,13.45,54.61,12.68,59.35,12.15,62.16,11.76,64.26,11.45,65.91,11.18,67.27,10.97,68.41,10.79,69.38,10.64,70.23,10.51,70.98,10.4,71.61
23.7,49.45,23.18,58.74,22.57,64.66,22.04,68.47,21.59,71.35,21.19,73.69,20.83,75.66,20.51,77.31,20.24,78.7,20.01,79.91,19.8,80.97,19.61,81.85
30.31,54.09,30.03,59.19,29.68,62.58,29.47,64.86,29.29,66.66,29.11,68.19,28.95,69.52,28.81,70.67,28.69,71.66,28.58,72.53,28.49,73.31,28.4,73.96
33.51,58.43,33.67,63.86,33.65,67.38,33.69,69.67,33.68,71.4,33.65,72.79,33.61,73.97,33.57,74.93,33.52,75.74,33.48,76.43,33.45,77.03,33.41,77.52
34.67,60.24,35.01,66.08,35.15,69.96,35.32,72.54,35.42,74.5,35.49,76.1,35.53,77.46,35.56,78.59,35.58,79.54,35.59,80.36,35.6,81.07,35.61,81.66
35,60.79,35.42,66.81,35.6,70.81,35.81,73.47,35.94,75.49,36.02,77.16,36.08,78.58,36.13,79.75,36.17,80.75,36.19,81.61,36.22,82.36,36.24,82.98
