gmId_L45,IdW_L45,gmId_L90,IdW_L90,gmId_L135,IdW_L135,gmId_L180,IdW_L180,gmId_L225 ,IdW_L225,gmId_L270,IdW_L270,gmId_L315 ,IdW_L315,gmId_L360 ,IdW_L360,gmId_L405,IdW_L405,gmId_L450 ,IdW_L450,gmId_L495,IdW_L495,gmId_L540 ,IdW_L540
2.345,171.6,2.417,112.7,2.491,83.35,2.537,64.76,2.561,52.72,2.569,44.39,2.569,38.33,2.567,33.72,2.564,30.1,2.561,27.18,2.558,24.79,2.557,22.79
2.922,132.1,2.941,86.32,2.994,63.45,3.027,49.09,3.04,39.89,3.04,33.58,3.033,29,3.026,25.52,3.019,22.79,3.012,20.6,3.006,18.79,3.002,17.28
3.811,94.68,3.714,62.06,3.721,45.47,3.726,35.11,3.72,28.52,3.706,24.02,3.687,20.77,3.671,18.3,3.657,16.36,3.644,14.79,3.632,13.51,3.623,12.43
5.351,60.36,4.995,40.4,4.902,29.71,4.847,22.99,4.8,18.72,4.755,15.8,4.712,13.71,4.676,12.1,4.646,10.85,4.62,9.828,4.597,8.988,4.58,8.279
8.449,30.88,7.548,21.94,7.22,16.45,7.016,12.88,6.867,10.58,6.745,9.004,6.64,7.862,6.555,6.983,6.485,6.286,6.425,5.719,6.374,5.248,6.332,4.848
14.94,9.934,13.45,7.997,12.68,6.325,12.15,5.131,11.76,4.325,11.45,3.757,11.18,3.338,10.97,3.007,10.79,2.739,10.64,2.516,10.51,2.329,10.4,2.166
23.7,1.43,23.18,1.287,22.57,1.102,22.04,9.51E-01,21.59,8.40E-01,21.19,7.60E-01,20.83,6.99E-01,20.51,6.48E-01,20.24,6.05E-01,20.01,5.68E-01,19.8,5.35E-01,19.61,5.05E-01
30.31,9.38E-02,30.03,8.75E-02,29.68,7.81E-02,29.47,6.96E-02,29.29,6.33E-02,29.11,5.87E-02,28.95,5.54E-02,28.81,5.25E-02,28.69,4.99E-02,28.58,4.76E-02,28.49,4.55E-02,28.4,4.36E-02
33.51,3.75E-03,33.67,3.52E-03,33.65,3.21E-03,33.69,2.88E-03,33.68,2.65E-03,33.65,2.49E-03,33.61,2.37E-03,33.57,2.27E-03,33.52,2.17E-03,33.48,2.09E-03,33.45,2.02E-03,33.41,1.94E-03
34.67,1.23E-04,35.01,1.12E-04,35.15,1.02E-04,35.32,9.02E-05,35.42,8.24E-05,35.49,7.71E-05,35.53,7.35E-05,35.56,7.03E-05,35.58,6.75E-05,35.59,6.49E-05,35.6,6.26E-05,35.61,6.04E-05
35,3.75E-06,35.42,3.29E-06,35.6,2.93E-06,35.81,2.55E-06,35.94,2.30E-06,36.02,2.14E-06,36.08,2.03E-06,36.13,1.93E-06,36.17,1.85E-06,36.19,1.77E-06,36.22,1.71E-06,36.24,1.65E-06
